"KOD","BIRTOKTER","MEGYEKOD","MEGYENEV","BIRTOKNEV","Y1382","Y13820","NEV_1382","Y1439","Y14390","NEVE_1439","Y1498","Y14980","NEVE_1498","v82_39","v39_98","v_82_98","v1","v2","v3"
"ZL78","8","ZL","Zala m.","Szentgyörgy","nemesi","Csabi","Reszneki","nemesi","","Egervári","nemesi","","Egervári","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SO11","175.8","SO","Solt m.","Tetétlen","nemesi","","Tetétleni","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"BI101","32.6","BI","Bihar m.","Görbed","nemesi","","Görbedi","nemesi","","","vegyes","","","nemesi > nemesi","nemesi > vegyes","nemesi > vegyes","20","37","29"
"ZL103","10","ZL","Zala m.","Pózva","nemesi","Héder","Rohonci","bárói","Peto László","","nemesi","","Peto (gersei)","nemesi > bárói","bárói > nemesi","nemesi > nemesi","17","13","28"
"ZL85","2.1","ZL","Zala m.","Apátfalva","egyházi","bencések","kapornaki apát","egyházi","bencések","kapornaki apát","egyházi","bencések","kapornaki apát","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"KL5","86","KL","Kolozs m.","Incsel","királyi","királyi honor","erdélyi vajda","nemesi","","","nemesi","","","királyi > nemesi","nemesi > nemesi","királyi > nemesi","15","36","21"
"ZL89","14.7","ZL","Zala m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"BI127","82.6","BI","Bihar m.","Kölesér","egyházi","püspök","váradi","egyházi","püspök","váradi püspök","egyházi","püspök","váradi püspök","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SM212","11.5","SM","Somogy m.","Balatonzamárd","vegyes","","","vegyes","","","vegyes","","Battyáni, fehérvári kápt.","vegyes > vegyes","vegyes > vegyes","vegyes > vegyes","22","41","32"
"ZL183","13.5","ZL","Zala m.","Zánka","nemesi","Rátót","Gyulafi","nemesi","","Gyulafi","nemesi","","Gyulafi","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SM4","9.7","SM","Somogy m.","Kiliti","egyházi","társaskáptalan","fehérvári","egyházi","társaskáptalan","fehérvári káptalan","egyházi","társaskáptalan","fehérvári káptalan","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"ZL114","8.3","ZL","Zala m.","Ördöghenye","nemesi","Ákos","Mikcsfi","nemesi","","Ördög Miklós (pölöskei)","nemesi","","Ördög (pölöskei)","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"VS132","68.7","VS","Vas m.","Borecsa","királyi","királyi honor","vasi-soproni ispánság","bárói","Szécsi János (felsolendvai)","","bárói","Szécsi Miklós","felsolendvai urad.","királyi > bárói","bárói > bárói","királyi > bárói","11","9","17"
"ZL193","15","ZL","Zala m.","Kehida","nemesi","Osli","Kanizsai","bárói","Kanizsai Lászlóné és Imre","","bárói","Kanizsai és pálosok (örményesi)","","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
